bandingan   bandingkan
fasiitas                fasilitas
lgi                     lagi
kurangendukung          kurang gedung
emenurut                menurut
sholat                  salat
washtufle               wastafel
nugas                   mengerjakan tugas
terlaku                 terlalu
paspasan                pas pasan
sebelumsebelumnya       sebelum sebelumnya
yaa                     iya
krna                    karena
blm                     belum
noise                   kebisingan
based                   berbasis
sudar                   sudah
kondidsi                kondisi
diged                   di gedung
joke                    bercanda
dishare                 dibagikan
big                     besar
wudhu                   wudu
kursikursi              kursi kursi
miskomunikasi           salah komunikasi
kndisi                  kondisi
matvek                  matematika vektor
terbukadan              terbuka dan
run                     eksekusi
berteletele             bertele tele
gdg                     gedung
side                    sisi
ppl                     proyek perangkat lunak
dirumah                 di rumah
panaskurang             panas kurang
ruanganyaitu            ruangan yaitu
beberala                beberapa
mencaricari             mencari cari
senagaimana             sebagaimana
laintetapi              lain tetapi
tngkah                  tingkah
bolongbolong            bolong bolong
codeblocks              code blocks
ob                      pesuruh kantor
asissten                asisten
ketidaksesuaian         ketidak sesuaian
sma                     sekolah menengah atas
sarpras                 sarana dan prasarana
terdengan               terdengar
pdahal                  padahal
lainya                  lainnya
design                  rancangan
workshop                loka karya
gk                      tidak
box                     kotak
datamining              penambangan data
rincianrincian          rincian rincian
jg                      juga
mteri                   materi
susana                  suasana
sbaiknya                sebaiknya
jdi                     jadi
mengeksplore            menjelajahi
surta                   surat
menggu                  menunggu
permasalan              permasalahan
lbih                    lebih
kndusif                 kondusif
maen                    main
oknumoknum              oknum oknum
hadirtapi               hadir tapi
bhs                     bahasa
proyrktor               proyektor
mensubmit               mengirim
or                      atau
pbo                     pemrograman berorientasi obyek
uts                     ujian tengah semester
mengantukkedepannya     mengantuk kedepannya
embedded                tertanam
share                   membagikan
menururt                menurut
passion                 gairah
microphone              mikropon
jarkom                  jaringan komputer
dipake                  dipakai
ttd                     tanda tangan
rapih                   rapi
terlebij                terlebih
tibatiba                tiba tiba
smaunya                 semaunya
perjelaslebih           perjelas lebih
sepertihal              seperti hal
spek                    spesifikasi
skill                   kemampuan
kprluan                 keperluan
probstat                probabilitas dan statistik
pkm                     pekan karya mahasiswa
publish                 menerbitkan
ahirnya                 akhirnya
buruburu                buru buru
laboratium              laboratorium
oa                      akun resmi
mngajarkan              mengajarkan
responding              menanggapi
tp                      tapi
beliaubeliau            beliau beliau
dluan                   dahulu
trsedia                 tersedia
barokah                 berkah
gehehehe                tertawa
bagustidak              bagus tidak
pembljaran              pemblajaran
bail                    baik
nyataagar               nyata agar
responsive              responsif
terinstal               terpasang
its                     itu
menggangu               mengganggu
pake                    pakai
deadline                tenggat waktu
tipsen                  titip absen
bkan                    bukan
clop                    cocok
menyampikan             menyampaikan
ketidakpahaman          ketidak pahaman
belumnpernah            belum pernah
lainlain                lain lain
jumpai                  berjumpa
tugastugas              tugas tugas
matkul                  matakuliah
dilab                   di laboratorium
pplk                    program pengenalan lingkungan kampus
asikmenjelaskan         asik menjelaskan
smua                    semua
trus                    terus
hehe                    tertawa
nyoba                   mencoba
recommend               rekomendasikan
didalam                 di dalam
kedengeran              kedengaran
kyk                     kayaknya
paparkanmisalnya        paparkan misalnya
okay                    oke
bosen                   bosan
mentoleransi            menoleransi
tubes                   tugas besar
menganggu               mengganggu
matihidup               mati hidup
seneng                  senang
satuitupun              satu itu pun
labnya                  laboratoriumnya
pengalamanya            pengalamannya
booring                 bosan
prodi                   program studi
iterajadi               itera jadi
kadangkadang            kadang kadang
ush                     usah
standard                standar
dimana                  di mana
terburuburu             terburu buru
materitetapi            materi tetapi
diem                    diam
terjalanya              berjalannya
upgrade                 meningkatkan
didunia                 di dunia
kurangny                kurangnya
dampingin               mendampingi
sbuah                   sebuah
mengatahui              mengetahui
chat                    pesan
ekspetasi               ekspektasi
tiba²                   tiba tiba
case                    kasus
ui                      antarmuka pengguna
bberapa                 beberapa
weekend                 akhir pekan
sampe                   sampai
orangorang              orang orang
tangapan                tanggapan
kating                  kakak tingkat
diperpustakaan          di perpustakaan
dlu                     dulu
benarbenar              benar benar
mouse                   tetikus
mood                    suasana hati
hohon                   mohon
kadangkala              kadang kala
fikiran                 pikiran
tdak                    tidak
sks                     satuan kredit semester
professional            profesional
dr                      dari
pmblajar                pembelajar
wktu                    waktu
remake                  membuat ulang
msing                   masing
alatalat                alat alat
katakata                kata kata
gd                      gedung
jngan                   jangan
baikbaik                baik baik
update                  memperbarui
trasnparansi            transparansi
seakanakan              seakan akan
penuambungan            penghubungan
dlm                     dalam
bsa                     bisa
bagussangat             bagus sangat
padatdan                padat dan
soalsoal                soal soal
mmang                   memang
org                     orang
jurusann                jurusan
alpro                   algoritma pemrograman
support                 bantuan
nanggung                tanggung
upload                  unggah
memahi                  memahami
tpb                     tahap persiapan bersama
online                  daring
nyari                   mencari
bukubuku                buku buku
karna                   karena
tmn                     teman
mnyelesaikannya         menyelesaikannya
crash                   rusak
